GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",119872,176819,(D),(D),195759,253789
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1109,1924,(D),1760,2177,2706
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",44398,38342,32541,(D),43601,51734
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",246662,274838,303490,280543,292904,338114
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",969392,1101299,1093682,1042743,1182084,1312335
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",701778,806330,817228,733859,878974,984652
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",267614,294969,276453,308884,303110,327682
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",229292,245659,257688,278325,325022,358329
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",326613,341186,366365,386788,428478,459431
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",242368,259117,253337,269275,323080,362382
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",67748,66046,70322,65602,68703,74525
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",816436,909994,977080,949638,975488,1006336
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",120088,132509,131464,112681,107576,109256
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",696347,777485,845616,836957,867911,897080
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",232435,255299,280051,283946,315849,347916
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",103754,119874,122185,122020,131610,148696
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",23216,26619,42871,42814,52585,50840
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",105464,108807,114994,119112,131654,148380
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",407958,428673,430938,432260,486163,512407
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",35646,37460,41083,30109,36157,37263
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",372312,391213,389855,402151,450007,475144
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",134524,146484,149227,(D),139667,188572
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",16565,17495,17659,(D),22971,29513
